id_venda,data_venda,produto,categoria,quantidade,preco_unitario,cliente,cidade,estado
70,2024-03-01,Shorts,Esporte,4,80.0,Caio,Campinas,SP
71,2024-03-13,Tênis,Esporte,5,300.0,Davi,Pelotas,RS
72,2024-04-06,Tênis,Esporte,2,300.0,Cecília,Campinas,SP
73,2024-02-10,Relógio,Acessórios,3,600.0,Ana,Pelotas,RS
74,2024-01-27,Meia,Moda,3,15.0,Raul,Pelotas,RS
75,2024-02-16,Meia,Moda,5,15.0,Ana,Santos,SP
76,2024-01-08,Relógio,Acessórios,1,600.0,Esther,Londrina,PR
77,2024-03-27,Calça,Moda,1,120.0,Diogo,Juiz de Fora,MG
78,2024-01-02,Boné,Acessórios,5,40.0,Larissa,Niterói,RJ
79,2024-02-18,Meia,Moda,2,15.0,Yuri,Belo Horizonte,MG
80,2024-03-15,Shorts,Esporte,3,80.0,Júlia,Niterói,RJ
81,2024-03-17,Tênis,Esporte,3,300.0,Bruna,Pelotas,RS
82,2024-03-24,Camisa,Moda,2,50.0,Maria Julia,Belo Horizonte,MG
83,2024-01-05,Jaqueta,Moda,2,250.0,Emanuel,Belo Horizonte,MG
84,2024-02-22,Meia,Moda,3,15.0,Eduarda,Caxias do Sul,RS
85,2024-02-14,Camisa,Moda,5,50.0,Alexia,Juiz de Fora,MG
86,2024-02-13,Calça,Moda,3,120.0,Miguel,Belo Horizonte,MG
87,2024-01-17,Calça,Moda,4,120.0,Cauã,São Paulo,SP
88,2024-02-03,Boné,Acessórios,5,40.0,Noah,Rio de Janeiro,RJ
89,2024-01-22,Relógio,Acessórios,4,600.0,Lorena,Santos,SP
90,2024-03-14,Meia,Moda,3,15.0,Emanuella,Maringá,PR
91,2024-01-30,Tênis,Esporte,2,300.0,Rodrigo,Niterói,RJ
92,2024-03-23,Meia,Moda,4,15.0,Melissa,Maringá,PR
93,2024-01-22,Meia,Moda,1,15.0,Breno,Belo Horizonte,MG
94,2024-04-01,Boné,Acessórios,4,40.0,Ana Luiza,Curitiba,PR
95,2024-04-06,Tênis,Esporte,1,300.0,Esther,Maringá,PR
96,2024-01-14,Calça,Moda,1,120.0,Kaique,São Paulo,SP
97,2024-02-03,Jaqueta,Moda,4,250.0,Maysa,Niterói,RJ
98,2024-04-06,Jaqueta,Moda,3,250.0,Lucas,Niterói,RJ
99,2024-02-02,Relógio,Acessórios,4,600.0,Daniela,Caxias do Sul,RS
100,2024-01-21,Boné,Acessórios,3,40.0,Marcela,Porto Alegre,RS
101,2024-04-07,Tênis,Esporte,4,300.0,Maria Sophia,São Paulo,SP
102,2024-04-05,Tênis,Esporte,2,300.0,Marina,Belo Horizonte,MG
103,2024-01-03,Relógio,Acessórios,4,600.0,Sophia,Juiz de Fora,MG
104,2024-04-04,Tênis,Esporte,4,300.0,Benício,Uberlândia,MG
105,2024-04-09,Relógio,Acessórios,4,600.0,Sophie,Santos,SP
106,2024-01-30,Jaqueta,Moda,1,250.0,Clara,São Paulo,SP
107,2024-04-05,Meia,Moda,1,15.0,Matheus,Santos,SP
108,2024-02-11,Meia,Moda,2,15.0,Pedro,Caxias do Sul,RS
109,2024-02-02,Jaqueta,Moda,3,250.0,Breno,Porto Alegre,RS
110,2024-02-09,Relógio,Acessórios,3,600.0,Esther,Curitiba,PR
111,2024-02-09,Calça,Moda,2,120.0,Bruna,Niterói,RJ
112,2024-02-13,Relógio,Acessórios,1,600.0,Yuri,Santos,SP
113,2024-02-10,Shorts,Esporte,5,80.0,Francisco,Rio de Janeiro,RJ
114,2024-01-10,Meia,Moda,5,15.0,Leonardo,Curitiba,PR
115,2024-03-21,Boné,Acessórios,2,40.0,Nathan,Uberlândia,MG
116,2024-03-01,Calça,Moda,5,120.0,Lívia,São Paulo,SP
117,2024-01-26,Relógio,Acessórios,5,600.0,Amanda,Uberlândia,MG
118,2024-02-02,Calça,Moda,1,120.0,Leandro,Pelotas,RS
119,2024-03-25,Calça,Moda,1,120.0,Rebeca,Belo Horizonte,MG
120,2024-01-03,Tênis,Esporte,3,300.0,Vicente,São Paulo,SP
121,2024-03-01,Shorts,Esporte,5,80.0,Larissa,São Paulo,SP
122,2024-03-02,Camisa,Moda,1,50.0,Luiz Fernando,Maringá,PR
123,2024-01-09,Meia,Moda,1,15.0,Ana Laura,Maringá,PR
124,2024-02-16,Shorts,Esporte,1,80.0,Vicente,Curitiba,PR
125,2024-02-15,Calça,Moda,1,120.0,Alexandre,Porto Alegre,RS
126,2024-02-05,Boné,Acessórios,1,40.0,Isabel,Campinas,SP
127,2024-02-28,Shorts,Esporte,5,80.0,Kevin,Belo Horizonte,MG
128,2024-03-26,Shorts,Esporte,4,80.0,Natália,Rio de Janeiro,RJ
129,2024-02-10,Jaqueta,Moda,2,250.0,Maria Alice,Campinas,SP
130,2024-02-08,Camisa,Moda,1,50.0,Vicente,Campinas,SP
131,2024-04-04,Camisa,Moda,3,50.0,Melissa,Juiz de Fora,MG
132,2024-03-02,Camisa,Moda,1,50.0,Maria Vitória,Santos,SP
133,2024-01-30,Camisa,Moda,3,50.0,Daniel,Pelotas,RS
134,2024-01-17,Camisa,Moda,5,50.0,Davi Lucas,Campinas,SP
135,2024-01-29,Jaqueta,Moda,5,250.0,Sophie,Maringá,PR
136,2024-03-08,Shorts,Esporte,5,80.0,Nina,Rio de Janeiro,RJ
137,2024-03-15,Camisa,Moda,5,50.0,Elisa,Petrópolis,RJ
138,2024-03-29,Relógio,Acessórios,4,600.0,Davi Lucas,Juiz de Fora,MG
139,2024-01-03,Calça,Moda,4,120.0,Sofia,Londrina,PR
140,2024-01-28,Shorts,Esporte,5,80.0,Alícia,Caxias do Sul,RS
141,2024-03-04,Jaqueta,Moda,3,250.0,Enzo Gabriel,Londrina,PR
142,2024-03-20,Camisa,Moda,1,50.0,Ana Lívia,Santos,SP
143,2024-04-03,Calça,Moda,4,120.0,Yasmin,Campinas,SP
144,2024-02-13,Boné,Acessórios,4,40.0,Ana Clara,Niterói,RJ
145,2024-04-04,Meia,Moda,1,15.0,Luiz Henrique,Maringá,PR
146,2024-03-16,Calça,Moda,2,120.0,Stella,Petrópolis,RJ
147,2024-01-14,Tênis,Esporte,4,300.0,Ana Lívia,Niterói,RJ
148,2024-02-07,Tênis,Esporte,3,300.0,Vitor,Juiz de Fora,MG
149,2024-01-06,Tênis,Esporte,1,300.0,Guilherme,Uberlândia,MG
150,2024-03-11,Jaqueta,Moda,4,250.0,Daniel,Uberlândia,MG
151,2024-01-10,Tênis,Esporte,5,300.0,João Pedro,Uberlândia,MG
152,2024-02-25,Calça,Moda,2,120.0,João Pedro,São Paulo,SP
153,2024-01-18,Calça,Moda,3,120.0,Rafaela,Niterói,RJ
154,2024-02-27,Jaqueta,Moda,5,250.0,João Vitor,Curitiba,PR
155,2024-01-27,Meia,Moda,5,15.0,Lavínia,Pelotas,RS
156,2024-01-23,Relógio,Acessórios,2,600.0,Marcelo,Porto Alegre,RS
157,2024-04-06,Calça,Moda,2,120.0,Marcos Vinicius,Pelotas,RS
158,2024-03-20,Camisa,Moda,2,50.0,Sarah,Porto Alegre,RS
159,2024-04-02,Meia,Moda,3,15.0,Nathan,Campinas,SP
160,2024-03-17,Camisa,Moda,3,50.0,Pedro Miguel,Rio de Janeiro,RJ
161,2024-03-11,Camisa,Moda,1,50.0,Benício,Rio de Janeiro,RJ
162,2024-04-10,Tênis,Esporte,2,300.0,Emanuella,Santos,SP
163,2024-03-23,Boné,Acessórios,3,40.0,Ana Carolina,Juiz de Fora,MG
164,2024-03-14,Meia,Moda,4,15.0,Emanuelly,Santos,SP
165,2024-02-17,Meia,Moda,4,15.0,Ana Lívia,Pelotas,RS
166,2024-03-17,Shorts,Esporte,5,80.0,Ana Clara,Londrina,PR
167,2024-03-03,Tênis,Esporte,2,300.0,Bruna,Rio de Janeiro,RJ
168,2024-02-09,Meia,Moda,1,15.0,Rodrigo,Caxias do Sul,RS
169,2024-01-09,Meia,Moda,1,15.0,Sabrina,Pelotas,RS
170,2024-03-17,Relógio,Acessórios,3,600.0,Maria Luiza,Campinas,SP
171,2024-02-15,Calça,Moda,4,120.0,Brenda,Campinas,SP
172,2024-01-21,Tênis,Esporte,3,300.0,João,Santos,SP
173,2024-03-22,Relógio,Acessórios,1,600.0,Natália,Londrina,PR
174,2024-04-10,Jaqueta,Moda,1,250.0,Alana,Juiz de Fora,MG
175,2024-03-26,Relógio,Acessórios,2,600.0,Augusto,Porto Alegre,RS
176,2024-03-25,Jaqueta,Moda,5,250.0,Laís,Porto Alegre,RS
177,2024-03-23,Jaqueta,Moda,3,250.0,Luana,Petrópolis,RJ
178,2024-02-17,Camisa,Moda,4,50.0,Rafael,Santos,SP
179,2024-03-17,Shorts,Esporte,1,80.0,João Pedro,Petrópolis,RJ
180,2024-03-19,Calça,Moda,4,120.0,Mariane,Santos,SP
181,2024-03-22,Tênis,Esporte,5,300.0,Gabrielly,Niterói,RJ
182,2024-04-01,Shorts,Esporte,4,80.0,Igor,Belo Horizonte,MG
183,2024-03-20,Camisa,Moda,4,50.0,Isis,Caxias do Sul,RS
184,2024-01-07,Tênis,Esporte,1,300.0,Maria Fernanda,Rio de Janeiro,RJ
185,2024-03-12,Tênis,Esporte,4,300.0,Murilo,Porto Alegre,RS
186,2024-04-07,Tênis,Esporte,1,300.0,Ana Sophia,Porto Alegre,RS
187,2024-04-10,Shorts,Esporte,5,80.0,Eduardo,Belo Horizonte,MG
188,2024-01-04,Calça,Moda,3,120.0,Maysa,Juiz de Fora,MG
189,2024-01-03,Boné,Acessórios,5,40.0,Yuri,Belo Horizonte,MG
190,2024-03-12,Boné,Acessórios,2,40.0,Miguel,Caxias do Sul,RS
191,2024-04-10,Calça,Moda,1,120.0,Lorena,Pelotas,RS
192,2024-01-01,Relógio,Acessórios,2,600.0,Gabriela,Belo Horizonte,MG
193,2024-03-30,Tênis,Esporte,5,300.0,Igor,Rio de Janeiro,RJ
194,2024-02-12,Meia,Moda,3,15.0,Nicole,Rio de Janeiro,RJ
195,2024-01-26,Boné,Acessórios,3,40.0,Cecília,Niterói,RJ
196,2024-02-14,Calça,Moda,1,120.0,Pedro Henrique,Santos,SP
197,2024-03-28,Meia,Moda,4,15.0,Vitória,Petrópolis,RJ
198,2024-01-29,Relógio,Acessórios,3,600.0,Raul,Caxias do Sul,RS
199,2024-02-20,Calça,Moda,2,120.0,Helena,Santos,SP
200,2024-02-04,Camisa,Moda,5,50.0,Diego,Porto Alegre,RS
201,2024-01-19,Jaqueta,Moda,2,250.0,Fernando,Belo Horizonte,MG
202,2024-02-28,Tênis,Esporte,1,300.0,Heloísa,Rio de Janeiro,RJ
203,2024-03-05,Meia,Moda,1,15.0,Ana Clara,Petrópolis,RJ
204,2024-04-04,Boné,Acessórios,2,40.0,Marina,São Paulo,SP
205,2024-02-28,Shorts,Esporte,4,80.0,Maria Eduarda,Pelotas,RS
206,2024-03-11,Shorts,Esporte,3,80.0,Davi Luiz,Uberlândia,MG
207,2024-02-29,Jaqueta,Moda,2,250.0,Ana Luiza,Maringá,PR
208,2024-02-19,Tênis,Esporte,3,300.0,Bryan,Londrina,PR
209,2024-02-03,Boné,Acessórios,4,40.0,Francisco,Maringá,PR
210,2024-03-05,Meia,Moda,1,15.0,João Miguel,Juiz de Fora,MG
211,2024-03-05,Shorts,Esporte,1,80.0,Caio,Rio de Janeiro,RJ
212,2024-04-08,Shorts,Esporte,2,80.0,Rodrigo,Caxias do Sul,RS
213,2024-03-20,Calça,Moda,4,120.0,Milena,Curitiba,PR
214,2024-03-28,Boné,Acessórios,1,40.0,Thiago,Curitiba,PR
215,2024-03-18,Shorts,Esporte,2,80.0,Maria,Pelotas,RS
216,2024-04-09,Jaqueta,Moda,3,250.0,João Lucas,Porto Alegre,RS
217,2024-02-12,Shorts,Esporte,3,80.0,João,Maringá,PR
218,2024-03-21,Camisa,Moda,4,50.0,Sofia,Curitiba,PR
219,2024-02-17,Jaqueta,Moda,4,250.0,Samuel,Caxias do Sul,RS
220,2024-01-22,Tênis,Esporte,5,300.0,Ana Júlia,Londrina,PR
221,2024-04-03,Jaqueta,Moda,1,250.0,Emilly,Curitiba,PR
222,2024-04-09,Shorts,Esporte,3,80.0,Yasmin,Petrópolis,RJ
223,2024-03-29,Calça,Moda,1,120.0,Lucas Gabriel,Juiz de Fora,MG
224,2024-03-25,Tênis,Esporte,2,300.0,Gabriel,Rio de Janeiro,RJ
225,2024-01-01,Jaqueta,Moda,2,250.0,Rodrigo,Belo Horizonte,MG
226,2024-02-09,Tênis,Esporte,4,300.0,Yasmin,Campinas,SP
227,2024-03-25,Boné,Acessórios,1,40.0,Sarah,Curitiba,PR
228,2024-01-08,Calça,Moda,5,120.0,Lucas,Maringá,PR
229,2024-03-22,Shorts,Esporte,4,80.0,Luiz Felipe,Belo Horizonte,MG
230,2024-03-14,Jaqueta,Moda,5,250.0,João Felipe,Londrina,PR
231,2024-03-01,Tênis,Esporte,3,300.0,Lucas Gabriel,São Paulo,SP
232,2024-01-05,Boné,Acessórios,1,40.0,Lucca,Juiz de Fora,MG
233,2024-01-26,Calça,Moda,3,120.0,Emanuel,Curitiba,PR
234,2024-03-13,Tênis,Esporte,3,300.0,Theo,Rio de Janeiro,RJ
235,2024-02-25,Camisa,Moda,2,50.0,Maitê,Londrina,PR
236,2024-04-03,Relógio,Acessórios,3,600.0,Otávio,Pelotas,RS
237,2024-02-02,Meia,Moda,2,15.0,Luigi,Caxias do Sul,RS
238,2024-01-15,Camisa,Moda,3,50.0,Juan,Pelotas,RS
239,2024-01-12,Tênis,Esporte,5,300.0,Luana,Rio de Janeiro,RJ
240,2024-03-30,Camisa,Moda,5,50.0,Leandro,Santos,SP
241,2024-03-22,Calça,Moda,2,120.0,Cauê,Uberlândia,MG
242,2024-01-31,Calça,Moda,3,120.0,Diogo,Santos,SP
243,2024-01-24,Tênis,Esporte,1,300.0,Eloah,Caxias do Sul,RS
244,2024-02-21,Tênis,Esporte,2,300.0,Kamilly,Santos,SP
245,2024-03-22,Relógio,Acessórios,5,600.0,Davi Lucas,Belo Horizonte,MG
246,2024-01-03,Camisa,Moda,3,50.0,Heloísa,Campinas,SP
247,2024-03-30,Calça,Moda,3,120.0,Benjamin,Belo Horizonte,MG
248,2024-03-09,Boné,Acessórios,3,40.0,Natália,Caxias do Sul,RS
249,2024-02-14,Boné,Acessórios,3,40.0,Maria Luiza,Pelotas,RS
250,2024-01-11,Calça,Moda,4,120.0,Mirella,Pelotas,RS
251,2024-02-09,Camisa,Moda,2,50.0,Isabella,Maringá,PR
252,2024-02-13,Boné,Acessórios,1,40.0,Laís,Niterói,RJ
253,2024-02-09,Relógio,Acessórios,1,600.0,Enzo,Niterói,RJ
254,2024-01-26,Camisa,Moda,3,50.0,Alice,Porto Alegre,RS
255,2024-01-24,Relógio,Acessórios,2,600.0,Luiz Miguel,Niterói,RJ
256,2024-01-30,Calça,Moda,5,120.0,Beatriz,Pelotas,RS
257,2024-01-24,Jaqueta,Moda,1,250.0,Enrico,Rio de Janeiro,RJ
258,2024-04-04,Shorts,Esporte,3,80.0,Juliana,Curitiba,PR
259,2024-03-10,Relógio,Acessórios,2,600.0,Eduarda,Juiz de Fora,MG
260,2024-01-11,Camisa,Moda,4,50.0,Rafael,Petrópolis,RJ
261,2024-03-11,Calça,Moda,1,120.0,Rafaela,Uberlândia,MG
262,2024-04-07,Shorts,Esporte,4,80.0,Vitor Hugo,Londrina,PR
263,2024-02-15,Tênis,Esporte,2,300.0,Agatha,Campinas,SP
264,2024-01-30,Calça,Moda,4,120.0,Alícia,Niterói,RJ
265,2024-03-01,Boné,Acessórios,5,40.0,Cauê,Caxias do Sul,RS
266,2024-02-12,Relógio,Acessórios,4,600.0,Luiz Fernando,Campinas,SP
267,2024-03-26,Boné,Acessórios,1,40.0,Luana,São Paulo,SP
268,2024-01-29,Jaqueta,Moda,3,250.0,Alice,Santos,SP
269,2024-03-27,Shorts,Esporte,3,80.0,Luiz Henrique,Maringá,PR
270,2024-02-05,Tênis,Esporte,4,300.0,Milena,Santos,SP
271,2024-04-06,Boné,Acessórios,3,40.0,Ana Júlia,Belo Horizonte,MG
272,2024-04-02,Tênis,Esporte,4,300.0,Ryan,Rio de Janeiro,RJ
273,2024-01-09,Tênis,Esporte,4,300.0,Elisa,Pelotas,RS
274,2024-02-10,Relógio,Acessórios,1,600.0,Gustavo Henrique,Juiz de Fora,MG
275,2024-02-13,Calça,Moda,5,120.0,Kevin,Curitiba,PR
276,2024-02-29,Relógio,Acessórios,2,600.0,Cauê,Londrina,PR
277,2024-01-12,Shorts,Esporte,5,80.0,Juliana,Campinas,SP
278,2024-01-14,Calça,Moda,2,120.0,Bernardo,Niterói,RJ
279,2024-02-20,Shorts,Esporte,2,80.0,Emanuel,Campinas,SP
280,2024-04-09,Camisa,Moda,3,50.0,Julia,Pelotas,RS
281,2024-01-08,Tênis,Esporte,4,300.0,Pedro Lucas,Juiz de Fora,MG
282,2024-04-01,Boné,Acessórios,5,40.0,Pietro,Belo Horizonte,MG
283,2024-03-31,Relógio,Acessórios,3,600.0,Augusto,Santos,SP
284,2024-04-01,Relógio,Acessórios,5,600.0,Maria Cecília,São Paulo,SP
285,2024-03-19,Calça,Moda,2,120.0,Luiza,Belo Horizonte,MG
286,2024-02-29,Tênis,Esporte,4,300.0,Ana Clara,São Paulo,SP
287,2024-04-04,Meia,Moda,3,15.0,Mariana,Porto Alegre,RS
288,2024-02-12,Jaqueta,Moda,4,250.0,Francisco,Belo Horizonte,MG
289,2024-04-03,Meia,Moda,3,15.0,Gabriela,Santos,SP
290,2024-01-13,Tênis,Esporte,5,300.0,Eloah,Uberlândia,MG
291,2024-03-12,Tênis,Esporte,5,300.0,João Guilherme,Curitiba,PR
292,2024-02-24,Jaqueta,Moda,3,250.0,Eloah,Rio de Janeiro,RJ
293,2024-03-31,Jaqueta,Moda,3,250.0,João Miguel,Rio de Janeiro,RJ
294,2024-02-04,Camisa,Moda,3,50.0,Sabrina,Rio de Janeiro,RJ
295,2024-02-18,Shorts,Esporte,1,80.0,Alice,Caxias do Sul,RS
296,2024-03-20,Jaqueta,Moda,5,250.0,Leonardo,São Paulo,SP
297,2024-03-03,Calça,Moda,3,120.0,Gustavo Henrique,Belo Horizonte,MG
298,2024-02-07,Calça,Moda,1,120.0,Eloah,Curitiba,PR
299,2024-02-25,Camisa,Moda,2,50.0,Isabella,Santos,SP
300,2024-01-12,Calça,Moda,2,120.0,Bruna,Santos,SP
301,2024-04-05,Meia,Moda,1,15.0,Igor,São Paulo,SP
302,2024-03-26,Jaqueta,Moda,1,250.0,Luiz Gustavo,Caxias do Sul,RS
303,2024-04-06,Boné,Acessórios,5,40.0,Thales,Belo Horizonte,MG
304,2024-01-05,Boné,Acessórios,4,40.0,Ana Beatriz,Petrópolis,RJ
305,2024-01-30,Meia,Moda,4,15.0,Ana Luiza,Niterói,RJ
306,2024-01-29,Jaqueta,Moda,3,250.0,Melissa,Belo Horizonte,MG
307,2024-03-12,Jaqueta,Moda,4,250.0,Vitor,Campinas,SP
308,2024-03-22,Shorts,Esporte,3,80.0,Nicolas,Porto Alegre,RS
309,2024-01-27,Boné,Acessórios,3,40.0,Levi,Curitiba,PR
310,2024-04-04,Boné,Acessórios,3,40.0,Pedro,Curitiba,PR
311,2024-02-09,Calça,Moda,3,120.0,Davi Lucca,São Paulo,SP
312,2024-02-14,Relógio,Acessórios,5,600.0,Kamilly,São Paulo,SP
313,2024-03-05,Relógio,Acessórios,1,600.0,Maria Cecília,Londrina,PR
314,2024-03-29,Calça,Moda,1,120.0,Alexandre,Rio de Janeiro,RJ
315,2024-01-11,Boné,Acessórios,3,40.0,Isabelly,Caxias do Sul,RS
316,2024-02-16,Relógio,Acessórios,2,600.0,Raul,Maringá,PR
317,2024-03-07,Jaqueta,Moda,3,250.0,Enzo,Uberlândia,MG
318,2024-02-10,Tênis,Esporte,2,300.0,Davi,Santos,SP
319,2024-02-04,Calça,Moda,1,120.0,Isadora,Londrina,PR
320,2024-02-21,Calça,Moda,1,120.0,Sofia,Londrina,PR
321,2024-03-25,Camisa,Moda,5,50.0,Maria Eduarda,Juiz de Fora,MG
322,2024-01-04,Calça,Moda,1,120.0,Maria Eduarda,Santos,SP
323,2024-01-06,Camisa,Moda,1,50.0,Sophia,Uberlândia,MG
324,2024-01-23,Jaqueta,Moda,1,250.0,Maria Cecília,Uberlândia,MG
325,2024-02-28,Meia,Moda,3,15.0,Isis,Niterói,RJ
326,2024-03-18,Calça,Moda,2,120.0,Bryan,Belo Horizonte,MG
327,2024-01-14,Tênis,Esporte,1,300.0,Brenda,Belo Horizonte,MG
328,2024-04-01,Relógio,Acessórios,3,600.0,João Felipe,Uberlândia,MG
329,2024-03-23,Relógio,Acessórios,5,600.0,Eloah,Caxias do Sul,RS
330,2024-03-20,Jaqueta,Moda,5,250.0,Gabriela,Pelotas,RS
331,2024-02-20,Jaqueta,Moda,1,250.0,Davi Luiz,Juiz de Fora,MG
332,2024-01-11,Meia,Moda,5,15.0,Igor,Belo Horizonte,MG
333,2024-02-06,Meia,Moda,4,15.0,Antônio,São Paulo,SP
334,2024-01-23,Tênis,Esporte,2,300.0,Danilo,Campinas,SP
335,2024-01-31,Shorts,Esporte,5,80.0,Diogo,Rio de Janeiro,RJ
336,2024-02-24,Tênis,Esporte,3,300.0,Carolina,Londrina,PR
337,2024-03-29,Camisa,Moda,3,50.0,Davi Lucas,Rio de Janeiro,RJ
338,2024-01-10,Shorts,Esporte,3,80.0,Luana,Pelotas,RS
339,2024-01-12,Jaqueta,Moda,5,250.0,Isadora,Uberlândia,MG
340,2024-03-24,Boné,Acessórios,5,40.0,João Lucas,Caxias do Sul,RS
341,2024-01-24,Tênis,Esporte,1,300.0,Heloísa,São Paulo,SP
342,2024-03-13,Camisa,Moda,5,50.0,Mariane,Campinas,SP
343,2024-02-10,Tênis,Esporte,5,300.0,Noah,Porto Alegre,RS
344,2024-01-16,Camisa,Moda,2,50.0,Raquel,Petrópolis,RJ
345,2024-01-27,Shorts,Esporte,3,80.0,João,Maringá,PR
346,2024-02-21,Boné,Acessórios,1,40.0,Alice,Uberlândia,MG
